id,pert,gene,label
Bloc1s1_Sqstm1,Bloc1s1,Sqstm1,up
Strap_Sp3,Strap,Sp3,none
Pfdn6_Pttg1,Pfdn6,Pttg1,none
Rc3h1_Csf3,Rc3h1,Csf3,up
Wnk1_Fxyd2,Wnk1,Fxyd2,up
Heatr1_Cfp,Heatr1,Cfp,down
Vhl_Mgarp,Vhl,Mgarp,up
Tsc2_Car2,Tsc2,Car2,none
Mideas_Dhrs3,Mideas,Dhrs3,up
Cct2_Saa3,Cct2,Saa3,down
Cct7_Ifit3,Cct7,Ifit3,up
Scap_Plpp3,Scap,Plpp3,up
Med29_Polr2a,Med29,Polr2a,up
Ndc80_Csf3r,Ndc80,Csf3r,none
Zfp207_Ifit3,Zfp207,Ifit3,down
Ash2l_C1qb,Ash2l,C1qb,down
Nob1_1110038B12Rik,Nob1,1110038B12Rik,up
Fli1_Cd72,Fli1,Cd72,down
Brd2_Igtp,Brd2,Igtp,up
Exosc7_Vmp1,Exosc7,Vmp1,up
Ube2m_Cd36,Ube2m,Cd36,up
Slc7a6os_3010003L21Rik,Slc7a6os,3010003L21Rik,none
Dhx15_Gm21188,Dhx15,Gm21188,none
Cct3_Sqstm1,Cct3,Sqstm1,none
Urm1_Blvrb,Urm1,Blvrb,down
Psmd1_Gpnmb,Psmd1,Gpnmb,none
Cdc42_Cd36,Cdc42,Cd36,up
Dusp1_Smox,Dusp1,Smox,up
Pdcd10_2500002B13Rik,Pdcd10,2500002B13Rik,none
Kras_Anxa3,Kras,Anxa3,none
Rpl26_Ifi44,Rpl26,Ifi44,none
Nrbf2_Prkar2b,Nrbf2,Prkar2b,up
Nelfcd_Cd36,Nelfcd,Cd36,up
Tcp1_AA467197,Tcp1,AA467197,down
Irf2_Polr2g,Irf2,Polr2g,up
Vps4b_Mtln,Vps4b,Mtln,none
Pfdn6_Creg1,Pfdn6,Creg1,up
Ogdh_Ahnak,Ogdh,Ahnak,none
Pfdn6_Cxcl1,Pfdn6,Cxcl1,none
Ddb1_Ms4a4c,Ddb1,Ms4a4c,down
Tardbp_Slamf9,Tardbp,Slamf9,down
Wnk1_Cd36,Wnk1,Cd36,up
Chmp3_Gpnmb,Chmp3,Gpnmb,none
Srsf7_Slamf9,Srsf7,Slamf9,none
Atp6v1b2_Dock10,Atp6v1b2,Dock10,up
Cnot1_Trem2,Cnot1,Trem2,up
Eftud2_Dynlt1f,Eftud2,Dynlt1f,none
Tnfrsf1a_Evi2b,Tnfrsf1a,Evi2b,up
Trappc8_Sqstm1,Trappc8,Sqstm1,up
Vps72_Car2,Vps72,Car2,none
Heatr1_Gpr84,Heatr1,Gpr84,down
Arpc3_Vma21,Arpc3,Vma21,down
Polr2i_Brd2,Polr2i,Brd2,up
Smc3_Cd44,Smc3,Cd44,none
Myc_Rsad2,Myc,Rsad2,none
Clp1_Selenow,Clp1,Selenow,down
Rack1_Psma6,Rack1,Psma6,down
Dusp1_Mxd1,Dusp1,Mxd1,up
Gins4_Ccnd1,Gins4,Ccnd1,up
Setd2_Pf4,Setd2,Pf4,up
Hyou1_Hspa5,Hyou1,Hspa5,up
Msto1_Cxcl14,Msto1,Cxcl14,up
Il10rb_Ggta1,Il10rb,Ggta1,down
Snapc3_Hspa1b,Snapc3,Hspa1b,none
Trem2_Alcam,Trem2,Alcam,none
Mbtps2_Chchd10,Mbtps2,Chchd10,up
Gpn2_Neat1,Gpn2,Neat1,none
Ddx6_Csf3r,Ddx6,Csf3r,none
Bag6_Serpinb6b,Bag6,Serpinb6b,up
Rheb_Lgals1,Rheb,Lgals1,down
Suz12_Vma21,Suz12,Vma21,down
Med20_Polr2a,Med20,Polr2a,up
Uxt_Lgals3,Uxt,Lgals3,none
Gpn2_Il1rn,Gpn2,Il1rn,down
Wdr3_H3f3b,Wdr3,H3f3b,none
Nelfa_C1qb,Nelfa,C1qb,none
Cct4_Msrb1,Cct4,Msrb1,down
Cct5_Saa3,Cct5,Saa3,down
Bloc1s1_Cd36,Bloc1s1,Cd36,none
Mphosph10_Gm49774,Mphosph10,Gm49774,none
