id,pert,gene,label
Psmd4_Anxa2,Psmd4,Anxa2,down
Junb_Carhsp1,Junb,Carhsp1,down
Rps5_Cks1b,Rps5,Cks1b,none
Med29_Cd9,Med29,Cd9,none
Gspt1_Atf6,Gspt1,Atf6,up
Chmp3_Cmpk2,Chmp3,Cmpk2,up
Ap3b1_Med29,Ap3b1,Med29,none
Ash2l_Hesx1,Ash2l,Hesx1,none
Rack1_Zfp101,Rack1,Zfp101,none
Wdr1_Vcl,Wdr1,Vcl,up
Nfyc_Ifi47,Nfyc,Ifi47,none
Traf6_St3gal5,Traf6,St3gal5,none
Pik3c3_Gpnmb,Pik3c3,Gpnmb,up
Yrdc_Ckb,Yrdc,Ckb,down
Yrdc_Slc25a13,Yrdc,Slc25a13,none
Snrnp70_Anxa1,Snrnp70,Anxa1,none
Chmp3_Hilpda,Chmp3,Hilpda,up
Xpo1_Btg1,Xpo1,Btg1,up
Ikzf1_Dnajb9,Ikzf1,Dnajb9,none
Tyk2_Rnf213,Tyk2,Rnf213,down
Pten_Prkcb,Pten,Prkcb,down
Tyk2_Ifit2,Tyk2,Ifit2,down
Polr1f_Cd69,Polr1f,Cd69,up
Mbtps2_Cfp,Mbtps2,Cfp,down
Smc3_St3gal5,Smc3,St3gal5,down
Hspa4_Mylip,Hspa4,Mylip,up
Taf5l_Timp2,Taf5l,Timp2,none
Tyk2_Nabp1,Tyk2,Nabp1,none
Rbm15_Slc12a9,Rbm15,Slc12a9,down
Kars_1110038B12Rik,Kars,1110038B12Rik,none
Dync1i2_Fmr1,Dync1i2,Fmr1,up
Cct2_Ifitm6,Cct2,Ifitm6,none
Med29_Adssl1,Med29,Adssl1,none
Il10rb_Saa3,Il10rb,Saa3,down
Ippk_Efr3b,Ippk,Efr3b,none
Sptssa_Ms4a6b,Sptssa,Ms4a6b,none
Syvn1_Calr,Syvn1,Calr,up
Vps33a_Cd69,Vps33a,Cd69,none
Actl6a_Odc1,Actl6a,Odc1,up
Trappc8_Gbf1,Trappc8,Gbf1,up
Ss18_Col18a1,Ss18,Col18a1,up
Smg5_Vwa3b,Smg5,Vwa3b,none
Cnot2_Pf4,Cnot2,Pf4,none
Mms22l_Gm3625,Mms22l,Gm3625,none
Wdr70_Ctsl,Wdr70,Ctsl,none
Ube4b_Hmgn1,Ube4b,Hmgn1,none
Ube4b_Cenph,Ube4b,Cenph,none
Rbm14_Btg1,Rbm14,Btg1,up
Igbp1_Cd69,Igbp1,Cd69,none
Rb1cc1_Polr2a,Rb1cc1,Polr2a,none
Nol10_Cotl1,Nol10,Cotl1,down
Fbxo11_Il1a,Fbxo11,Il1a,down
Gosr2_Scfd2,Gosr2,Scfd2,up
Ddx5_Tpm2,Ddx5,Tpm2,none
Dcaf13_Saa1,Dcaf13,Saa1,none
Cct2_Crip1,Cct2,Crip1,none
Fermt3_Mthfd2,Fermt3,Mthfd2,down
Rps5_Nampt,Rps5,Nampt,up
Wdr70_Pdia3,Wdr70,Pdia3,none
Xpo1_Hmox1,Xpo1,Hmox1,down
Trem2_Psma6,Trem2,Psma6,none
Junb_Lipa,Junb,Lipa,none
Cog5_Ifitm6,Cog5,Ifitm6,none
Zfp710_Psma6,Zfp710,Psma6,none
Mbd2_S100a10,Mbd2,S100a10,up
Actr10_Itgam,Actr10,Itgam,down
Sptlc1_Ccnd1,Sptlc1,Ccnd1,up
Atxn7l3_Fgl2,Atxn7l3,Fgl2,down
Klf6_S100a10,Klf6,S100a10,down
Pias1_Ctsl,Pias1,Ctsl,down
Nrbf2_Krtcap2,Nrbf2,Krtcap2,none
Hyou1_Krtcap2,Hyou1,Krtcap2,up
Cog3_Gm49774,Cog3,Gm49774,none
Cwc15_Fam111a,Cwc15,Fam111a,none
Cct5_BC005537,Cct5,BC005537,up
Hspa4_Cotl1,Hspa4,Cotl1,none
Yy1_Gapdh,Yy1,Gapdh,none
Hars_Tasl,Hars,Tasl,none
Hars_Tmtc2,Hars,Tmtc2,none
Gtf2a2_Frs3,Gtf2a2,Frs3,none
Alg2_Akr7a5,Alg2,Akr7a5,none
Cct2_Tmem39a,Cct2,Tmem39a,none
Rpl35_AA467197,Rpl35,AA467197,none
Dcaf13_Ctsk,Dcaf13,Ctsk,none
Strap_H2aj,Strap,H2aj,up
Pten_Iqgap2,Pten,Iqgap2,down
Ss18_Tlr2,Ss18,Tlr2,up
Dync1i2_Ctsh,Dync1i2,Ctsh,none
Eftud2_Blvrb,Eftud2,Blvrb,none
Ss18_BC051226,Ss18,BC051226,none
Nelfcd_Calcr,Nelfcd,Calcr,none
Ehmt2_Ly86,Ehmt2,Ly86,up
Rbck1_Clec4e,Rbck1,Clec4e,down
Nol10_Hivep3,Nol10,Hivep3,none
Sephs1_Ybx3,Sephs1,Ybx3,down
Mnt_Gbe1,Mnt,Gbe1,up
Cog8_Ifit3b,Cog8,Ifit3b,none
Gins3_Fcgr2b,Gins3,Fcgr2b,down
Nkap_Mt2,Nkap,Mt2,none
Vps33a_Gclm,Vps33a,Gclm,up
Atp6v1e1_Pofut1,Atp6v1e1,Pofut1,none
Tnfrsf1a_Il4i1,Tnfrsf1a,Il4i1,up
Nfkbiz_Hmox1,Nfkbiz,Hmox1,none
Tgif1_Rabac1,Tgif1,Rabac1,none
Pik3r4_S100a1,Pik3r4,S100a1,up
Ptpn11_Acod1,Ptpn11,Acod1,none
Taf5l_Man1a,Taf5l,Man1a,none
Snx13_Rapgef5,Snx13,Rapgef5,none
Med20_Ifi47,Med20,Ifi47,none
Hsp90ab1_1810009A15Rik,Hsp90ab1,1810009A15Rik,none
Pafah1b1_Zdhhc1,Pafah1b1,Zdhhc1,none
Kars_Cyb5r1,Kars,Cyb5r1,up
Sptlc1_Utrn,Sptlc1,Utrn,up
