 Row     Pert          Gene True Final Match
   1    Gins3 4930469K13Rik none  none     ✅
   2    Stk11         Thbs1   up  none     ❌
   3     Urm1         Rsad2 none  none     ✅
   4     Fth1          Odc1 none  none     ✅
   5    Snx14          Lmna none  none     ✅
   6  Snrnp27        Clec4d none  none     ✅
   7     Rps3         Ifih1   up  down     ❌
   8    Dcaf7         Il1rn none  none     ✅
   9  Csnk1a1        Tuba1c none  none     ✅
  10     Wdr1       Selenow down  none     ❌
  11    Zfp36         Cotl1 none  none     ✅
  12     Rps3         Nampt   up  down     ❌
  13    Virma         Rrp1b none  none     ✅
  14     Orc4          Prkn none  none     ✅
  15   Mideas         Cd164 down  none     ❌
  16   Mideas         Fcgr4 down  none     ❌
  17    Hspa4          Saa3 none    up     ❌
  18      Mnt       Tnfaip2 none  none     ✅
  19     Nfyc      BC051226   up  none     ❌
  20   Mms22l           Mt1   up  none     ❌
  21     Rpl4           Cfb none  none     ✅
  22    Ap3b1         Alcam none  none     ✅
  23    Ehmt2       Siglece   up  none     ❌
  24     Fth1          Ftl1   up  none     ❌
  25    Hspa4         Itgal down  none     ❌
  26    Nprl2         Kdm6b down  none     ❌
  27     Tlr4         Ccnd1   up  none     ❌
  28   Sptlc1          Stx3   up  none     ❌
  29     Kars       Smpdl3a   up  none     ❌
  30    Snx13       Rapgef5 none  none     ✅
  31   Mbtps2          Aif1 down  none     ❌
  32   Atg101          Il7r none  none     ✅
  33    Sart3         Rftn1 none  none     ✅
  34    Med25       Alox5ap none  none     ✅
  35     Cog8       Selenow down  none     ❌
  36    Vps18       Selenow down  none     ❌
  37   Srsf10          Ctsl down  none     ❌
  38     Cul3         Prdx1   up  down     ❌
  39    Myd88        Mthfd2 none  none     ✅
  40    Ap3b1          Ctsc down  none     ❌
  41   Ptpn11       Alox5ap down    up     ❌
  42    Stk11        Clec4d   up  none     ❌
  43     Ippk       Cd200r1 none  none     ✅
  44    Stag2          Gclm   up  none     ❌
  45   Eftud2      BC005537 none  none     ✅
  46     Rhoa        S100a1 none  none     ✅
  47   Zfp710         Acadl   up  none     ❌
  48   Eftud2         Snhg4   up  none     ❌
  49    Zfp36         Synrg none    up     ❌
  50    Ap3b1           Rp2 down  none     ❌
  51     Junb           Pf4 none  none     ✅
  52    Tgif1       B4galt5 none  none     ✅
  53    Cnot2         Rap2a none  none     ✅
  54     Cd14          Dcxr down  none     ❌
  55     Rhoa        Pou3f1 none  none     ✅
  56   Sephs1        Mgat4b down  none     ❌
  57     Rpn2        Dnajc3   up  none     ❌
  58     Gpn2          Ufl1 none  none     ✅
  59     Alg2          Galm none  none     ✅
  60  Atp6v1a       Gm26569 none  none     ✅
  61    Acin1        Rabac1 none  none     ✅
  62     Mcm4         H2-Q7 none  none     ✅
  63  Csnk1a1          Cd36   up    up     ✅
  64     Tlr4        Creld2 none  none     ✅
  65     Ss18          C1qb down  none     ❌
  66     Adnp          Glrx down  none     ❌
  67     Smg5        Snhg16   up  none     ❌
  68     Scap          Il7r   up  none     ❌
  69     Mta2        Lgals3 none  none     ✅
  70   Zfp710       S100a10   up  none     ❌
  71    Sec63          Calr   up    up     ✅
  72     Cct2       Tmem39a none  none     ✅
  73    Rnf40        Rnf128   up  none     ❌
  74     Tbk1        Sqstm1 none  none     ✅
  75    Rpl35         Mthfs none  none     ✅
  76  Bloc1s1         Hspa5 none  none     ✅
  77    Cdc42          Cd36   up  none     ❌
  78     Alg2          Igf1 none  none     ✅
  79   Mideas         Adam8   up  none     ❌
  80   Pdcd10        Adgre5   up  none     ❌
  81   Fbxo11        Sqstm1 none  none     ✅
  82     Adnp        Prss50   up  none     ❌
  83    Ap3b1         Tubb6 none  none     ✅
  84  Csnk1a1         Cd302 down  none     ❌
  85    Wdr70         Gpnmb none  none     ✅
  86   Pik3r4          Ctsl none  none     ✅
  87     Klf6          Il15 none  none     ✅
  88    Sec63          Purg none  none     ✅
  89     Mafb        S100a6 none  none     ✅
  90  Lamtor2         Gpnmb   up  none     ❌
  91   Nfkbiz        Ifitm6 none  none     ✅
  92    Rragc          Cd63   up  none     ❌
  93    Tnpo3           Npy none  none     ✅
  94   Il10ra         Ggta1 down  none     ❌
  95     Scap          Saa3 none  none     ✅
  96     Nkap         Igsf6 down  down     ✅
  97     Kdsr      Hsp90ab1   up  none     ❌
  98     Kars          Kitl none  none     ✅
  99     Cct5 6030442K20Rik none  none     ✅
 100    Ikzf1         Slfn1 none  none     ✅
 101     Cog3         Ahnak none  none     ✅
 102   Pdcd10        S100a8   up    up     ✅
 103    Usp39          Mdn1 none  none     ✅
 104     Wdr5         Timp2   up  none     ❌
 105   Mapk14          Noct none  none     ✅
 106   Pik3r4        S100a1   up  none     ❌
 107    Rbm15       Hsp90b1 none  none     ✅
 108    Ptpn2         Folr2 none  none     ✅
 109   Sptssa     Serpinb6b none    up     ❌
 110    Ints1         Pdia3 none  none     ✅
 111   Sephs1         Ggta1 none  none     ✅
 112   Prpf19        Dusp23 none  none     ✅
 113     Kdsr         Ifrd1   up  none     ❌
 114     Tut1        Ndufa4   up  none     ❌
 115      Yy1        Spats2   up  none     ❌
 116    Acin1        Sqstm1 none  none     ✅
 117    Wdr70        Ndufa4 none  none     ✅
 118    Hspa4       Krtcap2 none  none     ✅
 119   Zbtb17         Msrb1 down  none     ❌
 120    Stag2          Lst1   up  none     ❌
 121     Ric1         Creg1 none  none     ✅
 122    Tgif1          Cd63 none  none     ✅
 123    Taf5l          Glrx down  none     ❌
 124    Stag2         Reps1   up  none     ❌
 125     Hars          Il1b none  none     ✅
 126     Mta2        Ms4a4c none  none     ✅
 127     Brd2         Gapdh none  none     ✅
 128    Trrap       Trim12c   up  none     ❌
 129    Rbbp6          Glrx none    up     ❌
 130   Ticam2          Calr none  none     ✅
 131    Taf5l          Pgk1 down  none     ❌
 132    Stag2        Selplg none  none     ✅
